imgt_start,imgt_end,digger_start,digger_end,imgt_allele,digger_allele,imgt_func,digger_func,call_matches,func_matches,seq_matches,start_matches,digger_notes,imgt_l_part1,digger_l_part1,imgt_l_part2,digger_l_part2,imgt_heptamer,digger_heptamer,imgt_nonamer,digger_nonamer
,,786750,787053,,IGLV3-27*01,,pseudo,No,No,No,No,"Gene reversed, Leader not found, Stop codon in leader, Stop codon in V-REGION before 2nd cysteine, Nonamer not found, BLAST alignment was truncated",,,,,,,,
,,786753,787053,,IGLV3-27*01,,pseudo,No,No,No,No,"Gene reversed, Leader not found, Stop codon in leader, Stop codon in V-REGION before 2nd cysteine, Nonamer not found, BLAST alignment was truncated",,,,,,,,
,,786756,787053,,IGLV3-27*01,,pseudo,No,No,No,No,"Gene reversed, Leader not found, Stop codon in leader, Stop codon in V-REGION before 2nd cysteine, Nonamer not found, BLAST alignment was truncated",,,,,,,,
,,822960,822991,,IGLJ4*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
832058,832334,,,IGLV2-51*01,,pseudo,,No,No,No,No,,,,,,,,,
845377,845660,,,IGLV3-48*01,,functional,,No,No,No,No,,,,,,,,,
850544,850832,,,IGLV3-47*01,,pseudo,,No,No,No,No,,,,,,,,,
,,854384,854411,,IGLJ7*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
854942,855238,,,IGLV2-46*01,,functional,,No,No,No,No,,,,,,,,,
858172,858451,,,IGLV3-45*01,,pseudo,,No,No,No,No,,,,,,,,,
867394,867683,,,IGLV3-44*01,,functional,,No,No,No,No,,,,,,,,,
,,869211,869244,,IGLJ5*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
874841,875130,,,IGLV3-43*01,,functional,,No,No,No,No,,,,,,,,,
881315,881614,,,IGLV2-42*01,,pseudo,,No,No,No,No,,,,,,,,,
884512,884794,,,IGLV3-41*01,,pseudo,,No,No,No,No,,,,,,,,,
,,888895,889210,,IGLV5-87*01,,pseudo,No,No,No,No,"Gene reversed, Stop codon in V-REGION before 2nd cysteine, BLAST alignment was truncated",,,,,,,,
893610,893899,,,IGLV3-40*01,,functional,,No,No,No,No,,,,,,,,,
898088,898377,,,IGLV3-39*01,,functional,,No,No,No,No,,,,,,,,,
904569,904865,,,IGLV2-38*01,,functional,,No,No,No,No,,,,,,,,,
907768,908050,,,IGLV3-37*01,,pseudo,,No,No,No,No,,,,,,,,,
916880,917169,,,IGLV3-36*01,,functional,,No,No,No,No,,,,,,,,,
921357,921646,,,IGLV3-35*01,,pseudo,,No,No,No,No,,,,,,,,,
937784,938073,,,IGLV3-34*01,,functional,,No,No,No,No,,,,,,,,,
942263,942552,,,IGLV3-33*01,,functional,,No,No,No,No,,,,,,,,,
948722,949018,,,IGLV2-32*01,,functional,,No,No,No,No,,,,,,,,,
958321,958604,,,IGLV3-30*01,,functional,,No,No,No,No,,,,,,,,,
966617,966906,,,IGLV3-29*01,,functional,,No,No,No,No,,,,,,,,,
974258,974547,,,IGLV3-27*01,,functional,,No,No,No,No,,,,,,,,,
992786,993082,,,IGLV2-26*01,,functional,,No,No,No,No,,,,,,,,,
1001158,1001447,,,IGLV3-25*01,,functional,,No,No,No,No,,,,,,,,,
1013268,1013564,,,IGLV2-23*01,,functional,,No,No,No,No,,,,,,,,,
1020136,1020425,,,IGLV3-22*01,,functional,,No,No,No,No,,,,,,,,,
1028656,1028941,,,IGLV3-20*01,,pseudo,,No,No,No,No,,,,,,,,,
1036896,1037192,,,IGLV2-19*01,,functional,,No,No,No,No,,,,,,,,,
1046528,1046815,,,IGLV3-18*01,,ORF,,No,No,No,No,,,,,,,,,
1056526,1056845,,,IGLV4-17*01,,ORF,,No,No,No,No,,,,,,,,,
1060550,1060839,,,IGLV3-16*01,,pseudo,,No,No,No,No,,,,,,,,,
1063214,1063503,,,IGLV3-15*01,,pseudo,,No,No,No,No,,,,,,,,,
1067986,1068270,,,IGLV3-14*01,,functional,,No,No,No,No,,,,,,,,,
1071352,1071648,,,IGLV2-13*01,,functional,,No,No,No,No,,,,,,,,,
1095029,1095325,,,IGLV2-11*01,,functional,,No,No,No,No,,,,,,,,,
1100210,1100485,,,IGLV(II)-10*01,,pseudo,,No,No,No,No,,,,,,,,,
1114542,1114855,,,IGLV4-9*01,,functional,,No,No,No,No,,,,,,,,,
1123971,1124283,,,IGLV2-7*01,,pseudo,,No,No,No,No,,,,,,,,,
1130611,1130903,,,IGLV3-6*01,,pseudo,,No,No,No,No,,,,,,,,,
,,1135309,1135343,,IGLJ7*01,,pseudo,No,No,No,No,"Gene reversed, J-TRP not found",,,,,,,,
1223454,1223741,,,IGLV(II)-5*01,,pseudo,,No,No,No,No,,,,,,,,,
1227509,1227803,,,IGLV3-4*01,,pseudo,,No,No,No,No,,,,,,,,,
1236539,1236837,,,IGLV3-2*01,,functional,,No,No,No,No,,,,,,,,,
1243077,1243357,,,IGLV3-1*01,,pseudo,,No,No,No,No,,,,,,,,,
,,1284387,1284699,,IGLV5-99*01,,pseudo,No,No,No,No,"Gene reversed, Stop codon in V-REGION before 2nd cysteine, BLAST alignment was truncated",,,,,,,,
