query,subject,identity,alignment length,mismatches,gap opens,q start,q end,s start,s end,evalue,bit score
IGL,IGLV9-84*01,69.231,65,20,0,218912,218976,5,69,0.016,41.2
IGL,IGLV9-84*01,63.736,91,33,0,1071530,1071620,188,278,0.016,41.2
IGL,IGLV9-84*01,67.647,68,22,0,841610,841677,1,68,0.049,39.6
IGL,IGLV9-84*01,87.500,32,4,0,522710,522741,1,32,0.049,39.6
IGL,IGLV9-84*01,67.692,65,21,0,562725,562789,1,65,0.15,38.0
IGL,IGLV9-84*01,68.852,61,19,0,1243082,1243142,6,66,0.15,38.0
IGL,IGLV9-84*01,62.105,95,36,0,832212,832306,184,278,0.15,38.0
IGL,IGLV9-84*01,84.375,32,5,0,636192,636223,1,32,0.44,36.5
IGL,IGLV9-84*01,68.333,60,19,0,893615,893674,6,65,0.44,36.5
IGL,IGLV9-84*01,68.333,60,19,0,916885,916944,6,65,0.44,36.5
IGL,IGLV9-84*01,68.333,60,19,0,937789,937848,6,65,0.44,36.5
IGL,IGLV9-84*01,68.333,60,19,0,1001163,1001222,6,65,0.44,36.5
IGL,IGLV9-84*01,69.643,56,17,0,867403,867458,10,65,0.44,36.5
IGL,IGLV9-84*01,62.500,88,33,0,495232,495319,191,278,0.44,36.5
IGL,IGLV9-84*01,78.947,38,8,0,1227756,1227793,270,307,0.44,36.5
IGL,IGLV9-84*01,78.947,38,8,0,1232555,1232592,270,307,0.44,36.5
IGL,IGLV9-84*01,62.963,81,30,0,203696,203776,2,82,1.3,34.9
IGL,IGLV9-84*01,74.419,43,11,0,850641,850683,101,143,1.3,34.9
IGL,IGLV9-84*01,63.636,77,28,0,992964,993040,188,264,1.3,34.9
IGL,IGLV9-84*01,61.053,95,37,0,603218,603312,191,285,1.3,34.9
IGL,IGLV9-84*01,66.129,62,21,0,1227513,1227574,5,66,4.0,33.3
IGL,IGLV9-84*01,75.000,40,10,0,1067991,1068030,6,45,4.0,33.3
IGL,IGLV9-84*01,60.638,94,37,0,1046693,1046786,184,277,4.0,33.3
IGL,IGLV9-84*01,61.364,88,34,0,598210,598297,191,278,4.0,33.3
IGL,IGLV9-84*01,61.364,88,34,0,609042,609129,191,278,4.0,33.3
IGL,IGLV9-84*01,76.316,38,9,0,1023585,1023622,270,307,4.0,33.3
IGL,IGLV5-99*01,100.000,317,0,0,268773,269089,1,317,7.81e-142,504
IGL,IGLV5-99*01,88.141,312,37,0,92286,92597,6,317,3.85e-104,378
IGL,IGLV5-99*01,84.539,304,47,0,518070,518373,1,304,8.80e-91,334
IGL,IGLV5-99*01,83.987,306,49,0,583145,583450,1,306,7.92e-90,331
IGL,IGLV5-99*01,83.882,304,49,0,557893,558196,1,304,7.13e-89,328
IGL,IGLV5-99*01,81.350,311,58,0,297549,297859,1,311,1.26e-83,310
IGL,IGLV5-99*01,83.681,288,47,0,484902,485189,1,288,3.79e-83,309
IGL,IGLV5-99*01,81.311,305,57,0,631644,631948,2,306,1.02e-81,304
IGL,IGLV5-99*01,81.100,291,55,0,164327,164617,1,291,6.04e-77,288
IGL,IGLV5-99*01,81.908,304,52,1,674097,674397,1,304,4.89e-75,282
IGL,IGLV5-99*01,79.412,306,62,1,536337,536641,1,306,3.57e-72,272
IGL,IGLV5-99*01,77.705,305,68,0,249447,249751,1,305,3.21e-71,269
IGL,IGLV5-99*01,74.598,311,79,0,431931,432241,1,311,1.38e-63,244
IGL,IGLV5-99*01,78.136,279,58,2,96130,96406,1,278,5.35e-55,215
IGL,IGLV5-99*01,76.515,264,60,1,446330,446591,13,276,3.51e-51,202
IGL,IGLV5-99*01,73.279,247,64,1,245845,246089,30,276,2.97e-39,163
IGL,IGLV5-99*01,70.423,284,81,1,233980,234260,1,284,8.03e-38,158
IGL,IGLV5-99*01,67.014,288,95,0,10144,10431,1,288,2.41e-37,156
IGL,IGLV5-99*01,72.727,154,42,0,263509,263662,124,277,5.51e-24,112
IGL,IGLV5-99*01,85.106,94,14,0,16232,16325,94,1,4.47e-22,106
IGL,IGLV5-99*01,68.872,257,74,3,161550,161804,24,276,2.93e-18,93.5
IGL,IGLV5-99*01,65.704,277,90,2,203696,203967,2,278,8.79e-18,91.9
IGL,IGLV5-99*01,86.667,75,10,0,179940,180014,5,79,7.91e-17,88.8
IGL,IGLV5-99*01,79.310,87,18,0,511323,511409,1,87,6.41e-15,82.4
IGL,IGLV5-99*01,81.250,80,15,0,276663,276742,1,80,1.92e-14,80.8
IGL,IGLV5-99*01,70.161,124,37,0,208759,208882,183,306,1.92e-14,80.8
IGL,IGLV5-99*01,72.477,109,30,0,197712,197820,183,291,5.77e-14,79.2
IGL,IGLV5-99*01,71.560,109,31,0,441848,441956,183,291,5.19e-13,76.1
IGL,IGLV5-99*01,78.667,75,16,0,1114546,1114620,5,79,4.20e-11,69.7
IGL,IGLV5-99*01,76.623,77,18,0,1056528,1056604,3,79,3.78e-10,66.6
IGL,IGLV5-99*01,72.414,87,24,0,289218,289304,202,288,3.40e-09,63.4
IGL,IGLV5-99*01,72.093,86,24,0,598238,598323,228,313,1.02e-08,61.8
IGL,IGLV5-99*01,64.063,128,46,0,904569,904696,1,128,9.19e-08,58.6
IGL,IGLV5-99*01,64.063,128,46,0,1013268,1013395,1,128,9.19e-08,58.6
IGL,IGLV5-99*01,70.000,90,27,0,226894,226983,202,291,9.19e-08,58.6
IGL,IGLV5-99*01,70.455,88,26,0,603246,603333,228,315,9.19e-08,58.6
IGL,IGLV5-99*01,71.429,77,22,0,78032,78108,241,317,2.48e-06,53.9
IGL,IGLV5-99*01,85.106,47,7,0,904791,904837,241,287,2.48e-06,53.9
IGL,IGLV5-99*01,85.106,47,7,0,1013490,1013536,241,287,2.48e-06,53.9
IGL,IGLV5-99*01,62.500,128,48,0,948722,948849,1,128,7.45e-06,52.3
IGL,IGLV5-99*01,76.667,60,14,0,609070,609129,228,287,7.45e-06,52.3
IGL,IGLV5-99*01,74.242,66,17,0,541461,541526,241,306,7.45e-06,52.3
IGL,IGLV5-99*01,76.623,77,17,1,16119,16195,215,140,7.45e-06,52.3
IGL,IGLV5-99*01,81.633,49,9,0,1068055,1068103,79,127,2.23e-05,50.7
IGL,IGLV5-99*01,70.667,75,22,0,187683,187757,241,315,2.23e-05,50.7
IGL,IGLV5-99*01,61.719,128,49,0,575839,575966,1,128,6.70e-05,49.1
IGL,IGLV5-99*01,61.719,128,49,0,1123971,1124098,1,128,6.70e-05,49.1
IGL,IGLV5-99*01,67.442,86,28,0,845571,845656,222,307,6.70e-05,49.1
IGL,IGLV5-99*01,75.000,60,15,0,495260,495319,228,287,6.70e-05,49.1
IGL,IGLV5-99*01,72.727,66,18,0,522929,522994,241,306,6.70e-05,49.1
IGL,IGLV5-99*01,72.727,66,18,0,636411,636476,241,306,6.70e-05,49.1
IGL,IGLV5-99*01,85.714,42,6,0,1004432,1004473,246,287,6.70e-05,49.1
IGL,IGLV5-99*01,72.308,65,18,0,300215,300279,224,288,2.01e-04,47.5
IGL,IGLV5-99*01,68.831,77,24,0,921558,921634,229,305,2.01e-04,47.5
IGL,IGLV5-99*01,60.938,128,50,0,841610,841737,1,128,6.03e-04,46.0
IGL,IGLV5-99*01,65.556,90,31,0,937978,938067,222,311,6.03e-04,46.0
IGL,IGLV5-99*01,68.421,76,24,0,489924,489999,231,306,6.03e-04,46.0
IGL,IGLV5-99*01,83.333,42,7,0,276906,276947,256,297,6.03e-04,46.0
IGL,IGLV5-99*01,90.909,33,3,0,262286,262318,1,33,0.002,44.4
IGL,IGLV5-99*01,72.131,61,17,0,1243082,1243142,6,66,0.002,44.4
IGL,IGLV5-99*01,84.615,39,6,0,966696,966734,89,127,0.002,44.4
IGL,IGLV5-99*01,81.395,43,8,0,708590,708632,259,301,0.002,44.4
IGL,IGLV5-99*01,60.156,128,51,0,992786,992913,1,128,0.005,42.8
IGL,IGLV5-99*01,82.500,40,7,0,489715,489754,1,40,0.005,42.8
IGL,IGLV5-99*01,82.500,40,7,0,593859,593898,1,40,0.005,42.8
IGL,IGLV5-99*01,100.000,26,0,0,522710,522735,1,26,0.005,42.8
IGL,IGLV5-99*01,100.000,26,0,0,541242,541267,1,26,0.005,42.8
IGL,IGLV5-99*01,71.667,60,17,0,916885,916944,6,65,0.005,42.8
IGL,IGLV5-99*01,67.105,76,25,0,893804,893879,222,297,0.005,42.8
IGL,IGLV5-99*01,67.105,76,25,0,966811,966886,222,297,0.005,42.8
IGL,IGLV5-99*01,67.105,76,25,0,1001352,1001427,222,297,0.005,42.8
IGL,IGLV5-99*01,69.697,66,20,0,562944,563009,241,306,0.005,42.8
IGL,IGLV5-99*01,79.545,44,9,0,256997,257040,241,284,0.005,42.8
IGL,IGLV5-99*01,66.406,128,40,1,598032,598156,1,128,0.016,41.2
IGL,IGLV5-99*01,63.441,93,34,0,495054,495146,1,93,0.016,41.2
IGL,IGLV5-99*01,63.441,93,34,0,608864,608956,1,93,0.016,41.2
IGL,IGLV5-99*01,69.841,63,19,0,1227512,1227574,4,66,0.016,41.2
IGL,IGLV5-99*01,70.492,61,18,0,845382,845442,6,66,0.016,41.2
IGL,IGLV5-99*01,70.492,61,18,0,1232313,1232373,6,66,0.016,41.2
IGL,IGLV5-99*01,82.051,39,7,0,916959,916997,89,127,0.016,41.2
IGL,IGLV5-99*01,82.051,39,7,0,1001237,1001275,89,127,0.016,41.2
IGL,IGLV5-99*01,68.116,69,22,0,850744,850812,229,297,0.016,41.2
IGL,IGLV5-99*01,77.778,45,10,0,867619,867663,253,297,0.016,41.2
IGL,IGLV5-99*01,77.778,45,10,0,917105,917149,253,297,0.016,41.2
IGL,IGLV5-99*01,80.488,41,8,0,1068225,1068265,267,307,0.016,41.2
IGL,IGLV5-99*01,59.375,128,52,0,480388,480515,1,128,0.049,39.6
IGL,IGLV5-99*01,85.294,34,5,0,603040,603073,1,34,0.049,39.6
IGL,IGLV5-99*01,96.154,26,1,0,562725,562750,1,26,0.049,39.6
IGL,IGLV5-99*01,96.154,26,1,0,636192,636217,1,26,0.049,39.6
IGL,IGLV5-99*01,70.000,60,18,0,1067991,1068050,6,65,0.049,39.6
IGL,IGLV5-99*01,81.579,38,7,0,893689,893726,89,126,0.049,39.6
IGL,IGLV5-99*01,81.579,38,7,0,937863,937900,89,126,0.049,39.6
IGL,IGLV5-99*01,69.355,62,19,0,875042,875103,229,290,0.049,39.6
IGL,IGLV5-99*01,69.355,62,19,0,898289,898350,229,290,0.049,39.6
IGL,IGLV5-99*01,69.355,62,19,0,942464,942525,229,290,0.049,39.6
IGL,IGLV5-99*01,85.294,34,5,0,273904,273937,249,282,0.049,39.6
IGL,IGLV5-99*01,68.182,66,21,0,219118,219183,250,315,0.049,39.6
IGL,IGLV5-99*01,90.000,30,3,0,480627,480656,258,287,0.049,39.6
IGL,IGLV5-99*01,90.000,30,3,0,550553,550582,258,287,0.049,39.6
IGL,IGLV5-99*01,90.000,30,3,0,444280,444309,259,288,0.049,39.6
IGL,IGLV5-99*01,68.852,61,19,0,1020141,1020201,6,66,0.15,38.0
IGL,IGLV5-99*01,68.852,61,19,0,1060555,1060615,6,66,0.15,38.0
IGL,IGLV5-99*01,100.000,23,0,0,1236635,1236657,106,128,0.15,38.0
IGL,IGLV5-99*01,74.468,47,12,0,832260,832306,241,287,0.15,38.0
IGL,IGLV5-99*01,78.049,41,9,0,974478,974518,248,288,0.15,38.0
IGL,IGLV5-99*01,79.487,39,8,0,37681,37719,249,287,0.15,38.0
IGL,IGLV5-99*01,81.081,37,7,0,1020360,1020396,252,288,0.15,38.0
IGL,IGLV5-99*01,89.655,29,3,0,576079,576107,259,287,0.15,38.0
IGL,IGLV5-99*01,89.655,29,3,0,513687,513715,288,260,0.15,38.0
IGL,IGLV5-99*01,66.176,68,23,0,187464,187531,1,68,0.44,36.5
IGL,IGLV5-99*01,82.353,34,6,0,77810,77843,1,34,0.44,36.5
IGL,IGLV5-99*01,68.333,60,19,0,893615,893674,6,65,0.44,36.5
IGL,IGLV5-99*01,68.333,60,19,0,937789,937848,6,65,0.44,36.5
IGL,IGLV5-99*01,68.333,60,19,0,1001163,1001222,6,65,0.44,36.5
IGL,IGLV5-99*01,69.643,56,17,0,867403,867458,10,65,0.44,36.5
IGL,IGLV5-99*01,77.500,40,9,0,522795,522834,89,128,0.44,36.5
IGL,IGLV5-99*01,77.500,40,9,0,603125,603164,89,128,0.44,36.5
IGL,IGLV5-99*01,77.500,40,9,0,1028735,1028774,89,128,0.44,36.5
IGL,IGLV5-99*01,78.947,38,8,0,867473,867510,89,126,0.44,36.5
IGL,IGLV5-99*01,77.500,40,9,0,969083,969122,248,287,0.44,36.5
IGL,IGLV5-99*01,77.500,40,9,0,633077,633116,249,288,0.44,36.5
IGL,IGLV5-99*01,66.667,63,21,0,1100213,1100275,4,66,1.3,34.9
IGL,IGLV5-99*01,69.091,55,17,0,966627,966681,11,65,1.3,34.9
IGL,IGLV5-99*01,80.000,35,7,0,884595,884629,94,128,1.3,34.9
IGL,IGLV5-99*01,81.818,33,6,0,1060636,1060668,96,128,1.3,34.9
IGL,IGLV5-99*01,95.652,23,1,0,845473,845495,106,128,1.3,34.9
IGL,IGLV5-99*01,100.000,21,0,0,874939,874959,108,128,1.3,34.9
IGL,IGLV5-99*01,100.000,21,0,0,898186,898206,108,128,1.3,34.9
IGL,IGLV5-99*01,100.000,21,0,0,921455,921475,108,128,1.3,34.9
IGL,IGLV5-99*01,100.000,21,0,0,942361,942381,108,128,1.3,34.9
IGL,IGLV5-99*01,100.000,21,0,0,974356,974376,108,128,1.3,34.9
IGL,IGLV5-99*01,83.871,31,5,0,26499,26529,184,214,1.3,34.9
IGL,IGLV5-99*01,91.667,24,2,0,218910,218933,3,26,4.0,33.3
IGL,IGLV5-99*01,75.000,40,10,0,835958,835997,89,128,4.0,33.3
IGL,IGLV5-99*01,81.250,32,6,0,636285,636316,97,128,4.0,33.3
IGL,IGLV5-99*01,95.455,22,1,0,907865,907886,107,128,4.0,33.3
IGL,IGLV5-99*01,95.455,22,1,0,958418,958439,107,128,4.0,33.3
IGL,IGLV5-99*01,95.455,22,1,0,1046628,1046649,107,128,4.0,33.3
IGL,IGLV5-99*01,95.455,22,1,0,1243174,1243195,107,128,4.0,33.3
IGL,IGLV5-99*01,79.412,34,7,0,1013438,1013471,183,216,4.0,33.3
IGL,IGLV5-99*01,91.667,24,2,0,16794,16817,279,302,4.0,33.3
IGL,IGLV5-95*01,100.000,317,0,0,297549,297865,1,317,7.81e-142,504
IGL,IGLV5-95*01,86.288,299,41,0,518070,518368,1,299,4.02e-94,345
IGL,IGLV5-95*01,85.284,299,44,0,557893,558191,1,299,2.93e-91,336
IGL,IGLV5-95*01,83.819,309,50,0,583145,583453,1,309,2.64e-90,332
IGL,IGLV5-95*01,84.722,288,44,0,484902,485189,1,288,5.19e-86,318
IGL,IGLV5-95*01,81.350,311,58,0,268773,269083,1,311,1.26e-83,310
IGL,IGLV5-95*01,82.927,287,49,0,631644,631930,2,288,9.20e-81,301
IGL,IGLV5-95*01,77.287,317,72,0,431931,432247,1,317,3.96e-73,275
IGL,IGLV5-95*01,81.250,288,53,1,536337,536623,1,288,3.57e-72,272
IGL,IGLV5-95*01,80.656,305,56,1,674097,674398,1,305,1.07e-71,271
IGL,IGLV5-95*01,77.124,306,70,0,92286,92591,6,311,8.66e-70,264
IGL,IGLV5-95*01,78.125,288,63,0,249447,249734,1,288,7.02e-68,258
IGL,IGLV5-95*01,77.083,288,66,0,164327,164614,1,288,5.12e-65,248
IGL,IGLV5-95*01,76.703,279,62,2,96130,96406,1,278,3.51e-51,202
IGL,IGLV5-95*01,76.552,290,62,2,245843,246126,28,317,7.68e-48,191
IGL,IGLV5-95*01,73.260,273,71,1,446321,446591,4,276,5.60e-45,182
IGL,IGLV5-95*01,67.647,306,96,1,233980,234282,1,306,5.27e-34,145
IGL,IGLV5-95*01,65.625,288,99,0,10144,10431,1,288,1.58e-33,144
IGL,IGLV5-95*01,78.161,87,19,0,511323,511409,1,87,5.77e-14,79.2
IGL,IGLV5-95*01,75.258,97,24,0,16229,16325,97,1,5.77e-14,79.2
IGL,IGLV5-95*01,66.802,247,76,3,161560,161804,34,276,1.40e-11,71.3
IGL,IGLV5-95*01,67.769,121,39,0,197697,197817,168,288,4.20e-11,69.7
IGL,IGLV5-95*01,67.769,121,39,0,208744,208864,168,288,4.20e-11,69.7
IGL,IGLV5-95*01,64.706,170,59,1,192736,192904,109,278,3.78e-10,66.6
IGL,IGLV5-95*01,91.837,49,4,0,855170,855218,247,295,3.78e-10,66.6
IGL,IGLV5-95*01,72.727,88,24,0,179936,180023,1,88,1.13e-09,65.0
IGL,IGLV5-95*01,75.000,80,20,0,276663,276742,1,80,1.13e-09,65.0
IGL,IGLV5-95*01,84.483,58,9,0,603265,603322,247,304,1.13e-09,65.0
IGL,IGLV5-95*01,64.242,165,58,1,203804,203967,114,278,1.02e-08,61.8
IGL,IGLV5-95*01,67.925,106,34,0,441848,441953,183,288,1.02e-08,61.8
IGL,IGLV5-95*01,74.026,77,20,0,1114544,1114620,3,79,3.06e-08,60.2
IGL,IGLV5-95*01,87.755,49,6,0,948950,948998,247,295,3.06e-08,60.2
IGL,IGLV5-95*01,95.122,41,2,0,904797,904837,247,287,3.06e-08,60.2
IGL,IGLV5-95*01,95.122,41,2,0,1013496,1013536,247,287,3.06e-08,60.2
IGL,IGLV5-95*01,81.034,58,11,0,187689,187746,247,304,9.19e-08,58.6
IGL,IGLV5-95*01,83.333,54,9,0,598257,598310,247,300,9.19e-08,58.6
IGL,IGLV5-95*01,83.333,54,9,0,845602,845655,253,306,9.19e-08,58.6
IGL,IGLV5-95*01,70.115,87,26,0,289218,289304,202,288,2.76e-07,57.1
IGL,IGLV5-95*01,74.648,71,18,0,489940,490010,247,317,2.76e-07,57.1
IGL,IGLV5-95*01,92.683,41,3,0,609089,609129,247,287,2.76e-07,57.1
IGL,IGLV5-95*01,92.683,41,3,0,1037124,1037164,247,287,2.76e-07,57.1
IGL,IGLV5-95*01,92.683,41,3,0,1071580,1071620,247,287,2.76e-07,57.1
IGL,IGLV5-95*01,79.310,58,12,0,562950,563007,247,304,8.27e-07,55.5
IGL,IGLV5-95*01,80.000,55,11,0,636417,636471,247,301,2.48e-06,53.9
IGL,IGLV5-95*01,90.244,41,4,0,495279,495319,247,287,2.48e-06,53.9
IGL,IGLV5-95*01,83.673,49,8,0,708589,708637,258,306,2.48e-06,53.9
IGL,IGLV5-95*01,77.586,58,13,0,541467,541524,247,304,7.45e-06,52.3
IGL,IGLV5-95*01,79.630,54,11,0,522935,522988,247,300,7.45e-06,52.3
IGL,IGLV5-95*01,90.000,40,4,0,1004434,1004473,248,287,7.45e-06,52.3
IGL,IGLV5-95*01,80.769,52,10,0,1236764,1236815,253,304,7.45e-06,52.3
IGL,IGLV5-95*01,67.816,87,28,0,226894,226980,202,288,2.23e-05,50.7
IGL,IGLV5-95*01,80.392,51,10,0,276897,276947,247,297,2.23e-05,50.7
IGL,IGLV5-95*01,87.805,41,5,0,78038,78078,247,287,2.23e-05,50.7
IGL,IGLV5-95*01,68.293,82,26,0,203696,203777,2,83,6.70e-05,49.1
IGL,IGLV5-95*01,69.333,75,23,0,1056530,1056604,5,79,2.01e-04,47.5
IGL,IGLV5-95*01,73.770,61,16,0,1243082,1243142,6,66,2.01e-04,47.5
IGL,IGLV5-95*01,75.439,57,14,0,300238,300294,247,303,2.01e-04,47.5
IGL,IGLV5-95*01,60.938,128,50,0,948722,948849,1,128,6.03e-04,46.0
IGL,IGLV5-95*01,60.938,128,50,0,1013268,1013395,1,128,6.03e-04,46.0
IGL,IGLV5-95*01,60.938,128,50,0,1071352,1071479,1,128,6.03e-04,46.0
IGL,IGLV5-95*01,81.818,44,8,0,630117,630160,247,290,6.03e-04,46.0
IGL,IGLV5-95*01,81.818,44,8,0,669988,670031,247,290,6.03e-04,46.0
IGL,IGLV5-95*01,83.333,42,7,0,1020355,1020396,247,288,6.03e-04,46.0
IGL,IGLV5-95*01,74.667,75,18,1,16119,16193,215,142,6.03e-04,46.0
IGL,IGLV5-95*01,70.149,67,20,0,867588,867654,222,288,0.002,44.4
IGL,IGLV5-95*01,70.149,67,20,0,917074,917140,222,288,0.002,44.4
IGL,IGLV5-95*01,82.927,41,7,0,832266,832306,247,287,0.002,44.4
IGL,IGLV5-95*01,82.927,41,7,0,969082,969122,247,287,0.002,44.4
IGL,IGLV5-95*01,84.615,39,6,0,257003,257041,247,285,0.002,44.4
IGL,IGLV5-95*01,93.548,31,2,0,444280,444310,259,289,0.002,44.4
IGL,IGLV5-95*01,60.156,128,51,0,904569,904696,1,128,0.005,42.8
IGL,IGLV5-95*01,68.056,72,23,0,850748,850819,233,304,0.005,42.8
IGL,IGLV5-95*01,80.952,42,8,0,921576,921617,247,288,0.005,42.8
IGL,IGLV5-95*01,80.952,42,8,0,974477,974518,247,288,0.005,42.8
IGL,IGLV5-95*01,84.211,38,6,0,470230,470267,247,284,0.005,42.8
IGL,IGLV5-95*01,88.235,34,4,0,273904,273937,249,282,0.005,42.8
IGL,IGLV5-95*01,86.111,36,5,0,893835,893870,253,288,0.005,42.8
IGL,IGLV5-95*01,86.111,36,5,0,938009,938044,253,288,0.005,42.8
IGL,IGLV5-95*01,86.111,36,5,0,966842,966877,253,288,0.005,42.8
IGL,IGLV5-95*01,86.111,36,5,0,1001383,1001418,253,288,0.005,42.8
IGL,IGLV5-95*01,90.625,32,3,0,480628,480659,259,290,0.005,42.8
IGL,IGLV5-95*01,90.625,32,3,0,550554,550585,259,290,0.005,42.8
IGL,IGLV5-95*01,82.051,39,7,0,37681,37719,249,287,0.016,41.2
IGL,IGLV5-95*01,93.103,29,2,0,576079,576107,259,287,0.016,41.2
IGL,IGLV5-95*01,79.070,43,9,0,958557,958599,264,306,0.016,41.2
IGL,IGLV5-95*01,70.000,60,18,0,893615,893674,6,65,0.049,39.6
IGL,IGLV5-95*01,70.000,60,18,0,937789,937848,6,65,0.049,39.6
IGL,IGLV5-95*01,78.571,42,9,0,875060,875101,247,288,0.049,39.6
IGL,IGLV5-95*01,78.571,42,9,0,898307,898348,247,288,0.049,39.6
IGL,IGLV5-95*01,78.571,42,9,0,942482,942523,247,288,0.049,39.6
IGL,IGLV5-95*01,80.000,40,8,0,633077,633116,249,288,0.049,39.6
IGL,IGLV5-95*01,78.571,42,9,0,513687,513728,288,247,0.049,39.6
IGL,IGLV5-95*01,58.594,128,53,0,992786,992913,1,128,0.44,36.5
IGL,IGLV5-95*01,67.742,62,20,0,1227513,1227574,5,66,0.44,36.5
IGL,IGLV5-95*01,68.333,60,19,0,916885,916944,6,65,0.44,36.5
IGL,IGLV5-95*01,68.333,60,19,0,1001163,1001222,6,65,0.44,36.5
IGL,IGLV5-95*01,69.643,56,17,0,867403,867458,10,65,0.44,36.5
IGL,IGLV5-95*01,80.556,36,7,0,1114644,1114679,109,144,0.44,36.5
IGL,IGLV5-95*01,100.000,22,0,0,1068225,1068246,267,288,0.44,36.5
IGL,IGLV5-95*01,67.213,61,20,0,1232313,1232373,6,66,1.3,34.9
IGL,IGLV5-95*01,100.000,21,0,0,559300,559320,249,269,1.3,34.9
IGL,IGLV5-95*01,78.378,37,8,0,79948,79984,251,287,1.3,34.9
IGL,IGLV5-95*01,64.706,68,24,0,841610,841677,1,68,4.0,33.3
IGL,IGLV5-95*01,88.462,26,3,0,262286,262311,1,26,4.0,33.3
IGL,IGLV5-95*01,88.462,26,3,0,522710,522735,1,26,4.0,33.3
